run_accession	fastq_ftp	fastq_bytes	read_count
ERR2000649	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/009/ERR2000649/ERR2000649.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/009/ERR2000649/ERR2000649_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/009/ERR2000649/ERR2000649_2.fastq.gz	853488260;120202988;111839736	28650058
ERR2000650	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/000/ERR2000650/ERR2000650.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/000/ERR2000650/ERR2000650_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/000/ERR2000650/ERR2000650_2.fastq.gz	852776712;125537367;116820756	28019448
ERR2000654	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/004/ERR2000654/ERR2000654.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/004/ERR2000654/ERR2000654_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/004/ERR2000654/ERR2000654_2.fastq.gz	877266115;123661481;117589937	29248337
ERR2000659	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/009/ERR2000659/ERR2000659.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/009/ERR2000659/ERR2000659_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/009/ERR2000659/ERR2000659_2.fastq.gz	867528556;129368924;127589748	29277737
ERR2000660	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/000/ERR2000660/ERR2000660.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/000/ERR2000660/ERR2000660_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/000/ERR2000660/ERR2000660_2.fastq.gz	922685106;119575864;117785620	31589431
ERR2000662	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/002/ERR2000662/ERR2000662.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/002/ERR2000662/ERR2000662_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/002/ERR2000662/ERR2000662_2.fastq.gz	879584805;119455575;114478785	29344598
ERR2000665	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/005/ERR2000665/ERR2000665.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/005/ERR2000665/ERR2000665_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/005/ERR2000665/ERR2000665_2.fastq.gz	4904780438;2515689440;2580134450	153187821
ERR2000669	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/009/ERR2000669/ERR2000669.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/009/ERR2000669/ERR2000669_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/009/ERR2000669/ERR2000669_2.fastq.gz	4264080559;726040258;747888774	142016858
ERR2000671	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/001/ERR2000671/ERR2000671.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/001/ERR2000671/ERR2000671_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/001/ERR2000671/ERR2000671_2.fastq.gz	3687466604;578935325;595457296	123547766
ERR2000672	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/002/ERR2000672/ERR2000672.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/002/ERR2000672/ERR2000672_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/002/ERR2000672/ERR2000672_2.fastq.gz	3611617530;568315150;577616831	120839745
ERR2000673	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/003/ERR2000673/ERR2000673.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/003/ERR2000673/ERR2000673_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/003/ERR2000673/ERR2000673_2.fastq.gz	3743325434;595245461;598622944	126812621
ERR2000674	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/004/ERR2000674/ERR2000674.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/004/ERR2000674/ERR2000674_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/004/ERR2000674/ERR2000674_2.fastq.gz	3810215438;611494878;612509187	128354569
ERR2000682	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/002/ERR2000682/ERR2000682.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/002/ERR2000682/ERR2000682_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/002/ERR2000682/ERR2000682_2.fastq.gz	4947655103;802698863;850991321	163159114
ERR2000687	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/007/ERR2000687/ERR2000687.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/007/ERR2000687/ERR2000687_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/007/ERR2000687/ERR2000687_2.fastq.gz	5363898700;920131494;948456391	151520764
