run_accession	fastq_ftp	fastq_bytes	read_count
ERR2000800	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/000/ERR2000800/ERR2000800.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/000/ERR2000800/ERR2000800_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/000/ERR2000800/ERR2000800_2.fastq.gz	3788982739;678928325;680325284	131711701
ERR2000801	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/001/ERR2000801/ERR2000801.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/001/ERR2000801/ERR2000801_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/001/ERR2000801/ERR2000801_2.fastq.gz	1592378582;331071734;316702963	54599276
ERR2000803	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/003/ERR2000803/ERR2000803.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/003/ERR2000803/ERR2000803_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/003/ERR2000803/ERR2000803_2.fastq.gz	1667471171;328946565;318035979	54777060
ERR2000807	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/007/ERR2000807/ERR2000807.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/007/ERR2000807/ERR2000807_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/007/ERR2000807/ERR2000807_2.fastq.gz	1676570117;334606791;328214552	54531959
ERR2000809	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/009/ERR2000809/ERR2000809.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/009/ERR2000809/ERR2000809_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/009/ERR2000809/ERR2000809_2.fastq.gz	1553777694;307702469;300732003	52440609
ERR2000815	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/005/ERR2000815/ERR2000815.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/005/ERR2000815/ERR2000815_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/005/ERR2000815/ERR2000815_2.fastq.gz	1655820374;312574945;310881362	53474713
ERR2000816	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/006/ERR2000816/ERR2000816.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/006/ERR2000816/ERR2000816_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/006/ERR2000816/ERR2000816_2.fastq.gz	1987140702;369782153;366225807	63245378
ERR2000820	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/000/ERR2000820/ERR2000820.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/000/ERR2000820/ERR2000820_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/000/ERR2000820/ERR2000820_2.fastq.gz	2030326702;381546021;378672460	65365523
ERR2000823	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/003/ERR2000823/ERR2000823.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/003/ERR2000823/ERR2000823_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/003/ERR2000823/ERR2000823_2.fastq.gz	1701605770;323911382;321645975	55319643
ERR2000825	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/005/ERR2000825/ERR2000825.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/005/ERR2000825/ERR2000825_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/005/ERR2000825/ERR2000825_2.fastq.gz	1698225858;325186240;313673304	54270986
ERR2000833	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/003/ERR2000833/ERR2000833.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/003/ERR2000833/ERR2000833_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/003/ERR2000833/ERR2000833_2.fastq.gz	5466193882;997279093;1035346108	190582014
ERR2000838	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/008/ERR2000838/ERR2000838.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/008/ERR2000838/ERR2000838_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/008/ERR2000838/ERR2000838_2.fastq.gz	5193734546;1082153660;1109142856	179769244
ERR2000842	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/002/ERR2000842/ERR2000842.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/002/ERR2000842/ERR2000842_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/002/ERR2000842/ERR2000842_2.fastq.gz	1477691009;281330522;265960369	47306673
ERR2000846	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/006/ERR2000846/ERR2000846.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/006/ERR2000846/ERR2000846_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/006/ERR2000846/ERR2000846_2.fastq.gz	1454351408;298801976;277400320	47639767
ERR2000848	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/008/ERR2000848/ERR2000848.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/008/ERR2000848/ERR2000848_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/008/ERR2000848/ERR2000848_2.fastq.gz	1343455050;232734561;243573733	44297824
ERR2000850	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/000/ERR2000850/ERR2000850.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/000/ERR2000850/ERR2000850_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/000/ERR2000850/ERR2000850_2.fastq.gz	1255820439;214525784;224827538	40029527
ERR2000851	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/001/ERR2000851/ERR2000851.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/001/ERR2000851/ERR2000851_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/001/ERR2000851/ERR2000851_2.fastq.gz	1187174721;221337392;230292261	38500579
ERR2000852	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/002/ERR2000852/ERR2000852.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/002/ERR2000852/ERR2000852_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/002/ERR2000852/ERR2000852_2.fastq.gz	1165225000;198661269;206957945	36171907
ERR2000854	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/004/ERR2000854/ERR2000854.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/004/ERR2000854/ERR2000854_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/004/ERR2000854/ERR2000854_2.fastq.gz	1235642855;201602080;212256036	36825241
ERR2000856	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/006/ERR2000856/ERR2000856.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/006/ERR2000856/ERR2000856_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/006/ERR2000856/ERR2000856_2.fastq.gz	1138477219;203089522;210894546	35422344
ERR2000858	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/008/ERR2000858/ERR2000858.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/008/ERR2000858/ERR2000858_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/008/ERR2000858/ERR2000858_2.fastq.gz	1210391733;206913507;216995695	36161335
ERR2000859	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/009/ERR2000859/ERR2000859.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/009/ERR2000859/ERR2000859_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/009/ERR2000859/ERR2000859_2.fastq.gz	1388874155;229866192;239687710	40961710
ERR2000863	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/003/ERR2000863/ERR2000863.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/003/ERR2000863/ERR2000863_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/003/ERR2000863/ERR2000863_2.fastq.gz	1311721194;600394828;644880114	51583462
ERR2000866	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/006/ERR2000866/ERR2000866.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/006/ERR2000866/ERR2000866_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/006/ERR2000866/ERR2000866_2.fastq.gz	1471439267;596166524;637626538	56729207
ERR2000868	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/008/ERR2000868/ERR2000868.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/008/ERR2000868/ERR2000868_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/008/ERR2000868/ERR2000868_2.fastq.gz	1455366575;276888792;268117967	45864541
ERR2000870	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/000/ERR2000870/ERR2000870.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/000/ERR2000870/ERR2000870_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/000/ERR2000870/ERR2000870_2.fastq.gz	1562096397;284490472;275315505	47408287
ERR2000872	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/002/ERR2000872/ERR2000872.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/002/ERR2000872/ERR2000872_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/002/ERR2000872/ERR2000872_2.fastq.gz	1496237193;290869605;284666734	47430796
ERR2000877	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/007/ERR2000877/ERR2000877.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/007/ERR2000877/ERR2000877_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/007/ERR2000877/ERR2000877_2.fastq.gz	1151241487;198524225;202910334	37652282
ERR2000593	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/003/ERR2000593/ERR2000593.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/003/ERR2000593/ERR2000593_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/003/ERR2000593/ERR2000593_2.fastq.gz	5458126556;652050407;674895595	192437726
ERR2000594	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/004/ERR2000594/ERR2000594.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/004/ERR2000594/ERR2000594_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/004/ERR2000594/ERR2000594_2.fastq.gz	5463969001;661726362;680013991	192879034
ERR2000596	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/006/ERR2000596/ERR2000596.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/006/ERR2000596/ERR2000596_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/006/ERR2000596/ERR2000596_2.fastq.gz	6181606785;764497185;773373271	213539734
ERR2000601	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/001/ERR2000601/ERR2000601.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/001/ERR2000601/ERR2000601_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/001/ERR2000601/ERR2000601_2.fastq.gz	1764471669;225508831;225404684	60423264
ERR2000602	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/002/ERR2000602/ERR2000602.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/002/ERR2000602/ERR2000602_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/002/ERR2000602/ERR2000602_2.fastq.gz	1735569709;234286990;229606630	57808601
ERR2000603	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/003/ERR2000603/ERR2000603.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/003/ERR2000603/ERR2000603_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/003/ERR2000603/ERR2000603_2.fastq.gz	1735640981;248591110;249695684	59049199
ERR2000605	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/005/ERR2000605/ERR2000605.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/005/ERR2000605/ERR2000605_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/005/ERR2000605/ERR2000605_2.fastq.gz	1753995420;226017948;224355148	59946321
ERR2000608	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/008/ERR2000608/ERR2000608.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/008/ERR2000608/ERR2000608_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/008/ERR2000608/ERR2000608_2.fastq.gz	1532515656;200553761;199049056	52484289
ERR2000611	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/001/ERR2000611/ERR2000611.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/001/ERR2000611/ERR2000611_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/001/ERR2000611/ERR2000611_2.fastq.gz	1490444464;221685400;220592821	50701485
ERR2000619	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/009/ERR2000619/ERR2000619.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/009/ERR2000619/ERR2000619_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/009/ERR2000619/ERR2000619_2.fastq.gz	1733981153;260798477;259285236	58678238
ERR2000620	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/000/ERR2000620/ERR2000620.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/000/ERR2000620/ERR2000620_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/000/ERR2000620/ERR2000620_2.fastq.gz	1798125348;236180551;234396197	61434780
ERR2000624	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/004/ERR2000624/ERR2000624.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/004/ERR2000624/ERR2000624_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/004/ERR2000624/ERR2000624_2.fastq.gz	1814154288;231858091;232563253	61969384
ERR2000628	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/008/ERR2000628/ERR2000628.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/008/ERR2000628/ERR2000628_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/008/ERR2000628/ERR2000628_2.fastq.gz	1753397171;218654260;221406755	60190835
ERR2000629	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/009/ERR2000629/ERR2000629.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/009/ERR2000629/ERR2000629_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/009/ERR2000629/ERR2000629_2.fastq.gz	1688071632;210516645;211821576	57916958
ERR2000630	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/000/ERR2000630/ERR2000630.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/000/ERR2000630/ERR2000630_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/000/ERR2000630/ERR2000630_2.fastq.gz	1692637811;220684009;218472860	56636380
ERR2000635	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/005/ERR2000635/ERR2000635.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/005/ERR2000635/ERR2000635_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/005/ERR2000635/ERR2000635_2.fastq.gz	864380896;126007791;123909897	29300392
ERR2000638	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/008/ERR2000638/ERR2000638.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/008/ERR2000638/ERR2000638_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/008/ERR2000638/ERR2000638_2.fastq.gz	844996038;118334690;111466011	27968042
ERR2000640	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/000/ERR2000640/ERR2000640.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/000/ERR2000640/ERR2000640_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/000/ERR2000640/ERR2000640_2.fastq.gz	865438671;120035791;114064931	29345647
ERR2000643	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/003/ERR2000643/ERR2000643.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/003/ERR2000643/ERR2000643_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/003/ERR2000643/ERR2000643_2.fastq.gz	845547937;130789809;125850137	28358066
ERR2000647	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/007/ERR2000647/ERR2000647.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/007/ERR2000647/ERR2000647_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/007/ERR2000647/ERR2000647_2.fastq.gz	847366389;133119345;127327375	28336502
ERR2000652	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/002/ERR2000652/ERR2000652.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/002/ERR2000652/ERR2000652_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/002/ERR2000652/ERR2000652_2.fastq.gz	899168304;122350169;118266496	30728952
ERR2000655	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/005/ERR2000655/ERR2000655.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/005/ERR2000655/ERR2000655_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/005/ERR2000655/ERR2000655_2.fastq.gz	865453588;133106720;129746444	29299287
ERR2000656	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/006/ERR2000656/ERR2000656.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/006/ERR2000656/ERR2000656_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/006/ERR2000656/ERR2000656_2.fastq.gz	905329832;120345089;117190143	30822787
ERR2000657	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/007/ERR2000657/ERR2000657.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/007/ERR2000657/ERR2000657_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/007/ERR2000657/ERR2000657_2.fastq.gz	884810375;118879241;113537056	30091253
ERR2000658	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/008/ERR2000658/ERR2000658.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/008/ERR2000658/ERR2000658_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/008/ERR2000658/ERR2000658_2.fastq.gz	868530725;120355015;114828935	28832802
ERR2000666	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/006/ERR2000666/ERR2000666.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/006/ERR2000666/ERR2000666_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/006/ERR2000666/ERR2000666_2.fastq.gz	7418311480;3103005933;3233286047	197860569
ERR2000670	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/000/ERR2000670/ERR2000670.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/000/ERR2000670/ERR2000670_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/000/ERR2000670/ERR2000670_2.fastq.gz	3825736284;647089693;664427324	127191574
ERR2000675	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/005/ERR2000675/ERR2000675.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/005/ERR2000675/ERR2000675_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/005/ERR2000675/ERR2000675_2.fastq.gz	4906294781;830618099;879793743	164617904
ERR2000676	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/006/ERR2000676/ERR2000676.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/006/ERR2000676/ERR2000676_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/006/ERR2000676/ERR2000676_2.fastq.gz	5032094379;825270446;876089071	166785563
ERR2000678	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/008/ERR2000678/ERR2000678.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/008/ERR2000678/ERR2000678_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/008/ERR2000678/ERR2000678_2.fastq.gz	5010843069;816359743;857858403	163692188
ERR2000681	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/001/ERR2000681/ERR2000681.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/001/ERR2000681/ERR2000681_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/001/ERR2000681/ERR2000681_2.fastq.gz	4946329911;803745106;852268504	163512301
ERR2000686	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/006/ERR2000686/ERR2000686.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/006/ERR2000686/ERR2000686_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/006/ERR2000686/ERR2000686_2.fastq.gz	5562033493;926594936;950541741	153812664
ERR2000691	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/001/ERR2000691/ERR2000691.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/001/ERR2000691/ERR2000691_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/001/ERR2000691/ERR2000691_2.fastq.gz	5677861622;1040916630;1094940430	186591037
ERR2000694	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/004/ERR2000694/ERR2000694.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/004/ERR2000694/ERR2000694_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/004/ERR2000694/ERR2000694_2.fastq.gz	5847494988;1052200740;1101542490	188461000
ERR2000695	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/005/ERR2000695/ERR2000695.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/005/ERR2000695/ERR2000695_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/005/ERR2000695/ERR2000695_2.fastq.gz	5815353855;1051400419;1103229207	189099354
ERR2000698	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/008/ERR2000698/ERR2000698.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/008/ERR2000698/ERR2000698_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/008/ERR2000698/ERR2000698_2.fastq.gz	5753058829;1033440004;1082033231	185948576
ERR2000702	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/002/ERR2000702/ERR2000702.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/002/ERR2000702/ERR2000702_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/002/ERR2000702/ERR2000702_2.fastq.gz	7254256595;1305330592;1330622855	194024897
ERR2000704	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/004/ERR2000704/ERR2000704.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/004/ERR2000704/ERR2000704_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/004/ERR2000704/ERR2000704_2.fastq.gz	7079131745;1250959807;1280074802	191682628
ERR2000706	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/006/ERR2000706/ERR2000706.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/006/ERR2000706/ERR2000706_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/006/ERR2000706/ERR2000706_2.fastq.gz	7032479121;1258736877;1298171478	189639981
ERR2000707	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/007/ERR2000707/ERR2000707.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/007/ERR2000707/ERR2000707_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/007/ERR2000707/ERR2000707_2.fastq.gz	5399788871;919802668;976345724	178827652
ERR2000710	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/000/ERR2000710/ERR2000710.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/000/ERR2000710/ERR2000710_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/000/ERR2000710/ERR2000710_2.fastq.gz	5561877750;921560712;975878110	178935064
ERR2000714	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/004/ERR2000714/ERR2000714.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/004/ERR2000714/ERR2000714_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/004/ERR2000714/ERR2000714_2.fastq.gz	5953591648;999416302;1060260194	196405268
ERR2000718	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/008/ERR2000718/ERR2000718.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/008/ERR2000718/ERR2000718_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/008/ERR2000718/ERR2000718_2.fastq.gz	8921910663;1164356422;1186319088	218565719
ERR2000721	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/001/ERR2000721/ERR2000721.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/001/ERR2000721/ERR2000721_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/001/ERR2000721/ERR2000721_2.fastq.gz	8780922942;1140394175;1161601116	217499460
ERR2000723	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/003/ERR2000723/ERR2000723.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/003/ERR2000723/ERR2000723_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/003/ERR2000723/ERR2000723_2.fastq.gz	5718519122;1066355035;1127739087	178869166
ERR2000725	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/005/ERR2000725/ERR2000725.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/005/ERR2000725/ERR2000725_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/005/ERR2000725/ERR2000725_2.fastq.gz	5698948988;1071114916;1130047484	178735793
