pos	5pC>T
1	0.178721288013049
2	0.010051589329734
3	0.00630919022105506
4	0.00505803232848335
5	0.00404702336246388
6	0.00428380663839163
7	0.00389606489938294
8	0.00363637448392717
9	0.00391674280232952
10	0.003640560143026
11	0.00368387087239461
12	0.00354669262363656
13	0.00377230173097568
14	0.00361960698150668
15	0.00373902063030066
16	0.00372653659796817
17	0.00375295165197894
18	0.0037362413626208
19	0.00383099480969532
20	0.00360352461308244
21	0.00361150930785991
22	0.00365247806326755
23	0.00361784956133967
24	0.00349383278975142
25	0.00339639959347252
