# table produced by mapDamage version 2.2.3
# using mapped file results/align/ERR2000720.sorted.bam and ref/GRCh38_no_alt.fasta as reference file
# Std: strand of reads
Std	Length	Occurences 
+	18	22593
+	31	29747
+	56	199360
+	67	96363
+	40	400806
+	51	273936
+	62	133855
+	44	388561
+	54	226185
+	66	102990
+	52	256603
+	30	23870
+	53	241706
+	71	72405
+	22	54726
+	43	406620
+	102	8879
+	41	422222
+	63	125095
+	29	20234
+	45	372646
+	42	417817
+	48	324908
+	59	164371
+	58	176954
+	84	29661
+	49	308308
+	32	38133
+	73	63071
+	38	293063
+	61	143269
+	65	110141
+	37	221175
+	70	78563
+	39	357830
+	46	355530
+	47	341824
+	96	13050
+	21	23767
+	57	187578
+	76	51527
+	50	289292
+	86	25485
+	28	17308
+	36	158777
+	87	23925
+	90	19354
+	89	21113
+	60	153328
+	81	36864
+	80	39539
+	33	52499
+	68	89759
+	97	12090
+	64	118241
+	88	22501
+	35	108971
+	79	42191
+	83	32053
+	104	7510
+	78	45245
+	19	28813
+	98	11321
+	93	15920
+	34	75533
+	77	48449
+	69	83957
+	75	55024
+	24	34888
+	13	7744
+	101	9321
+	94	14674
+	85	27853
+	55	212479
+	91	18192
+	82	34120
+	72	67639
+	92	16943
+	17	17720
+	26	18245
+	14	9709
+	20	27739
+	100	9910
+	95	13895
+	110	4821
+	74	58800
+	15	11645
+	113	3993
+	27	16506
+	10	2183
+	8	413
+	103	8020
+	114	3770
+	105	7038
+	23	47754
+	109	5497
+	25	24397
+	126	1691
+	106	6766
+	117	3029
+	16	14789
+	115	3436
+	107	6171
+	132	1135
+	123	2019
+	120	2532
+	131	1209
+	12	5375
+	11	3478
+	9	1035
+	130	1288
+	111	4474
+	116	3257
+	133	1041
+	99	10516
+	108	5678
+	118	2828
+	121	2373
+	136	933
+	127	1491
+	122	2195
+	137	830
+	138	792
+	112	4399
+	124	1882
+	141	638
+	135	896
+	129	1418
+	128	1407
+	125	1743
+	4	123
+	119	2800
+	134	1027
+	140	670
+	1	73
+	139	744
+	7	95
+	3	15
+	2	10
+	142	10
+	5	38
+	6	36
+	143	1
-	67	95983
-	62	133129
-	51	273111
-	40	399407
-	44	389148
-	70	78131
-	81	36606
-	56	200294
-	43	407517
-	46	356635
-	35	109438
-	39	357386
-	41	422672
-	22	54959
-	69	83495
-	50	289825
-	18	22643
-	48	323794
-	85	27643
-	38	292427
-	36	157419
-	59	164453
-	54	226900
-	57	187435
-	45	371755
-	55	212194
-	49	307296
-	30	23652
-	14	9704
-	24	34753
-	53	241188
-	47	339738
-	37	221159
-	65	109959
-	66	103000
-	34	75055
-	42	417766
-	71	72834
-	74	58806
-	78	45183
-	109	5294
-	61	142912
-	72	67783
-	64	117490
-	52	257095
-	106	6609
-	98	11099
-	91	18106
-	77	48127
-	68	90199
-	73	63593
-	102	8601
-	63	124439
-	82	34187
-	60	153181
-	58	176155
-	27	16427
-	32	38450
-	101	9276
-	110	5047
-	122	2232
-	75	54416
-	99	10694
-	26	17923
-	83	31823
-	31	29630
-	97	12181
-	29	19849
-	87	23917
-	90	19428
-	92	16906
-	15	11928
-	19	28367
-	76	51279
-	111	4655
-	96	12817
-	80	39307
-	13	7608
-	114	3741
-	33	52751
-	86	25444
-	112	4298
-	84	29424
-	136	903
-	23	47374
-	95	13775
-	105	7082
-	88	22325
-	11	3525
-	116	3236
-	94	14513
-	10	2030
-	79	41929
-	28	17553
-	16	14944
-	89	20947
-	25	23854
-	125	1753
-	93	16059
-	20	27594
-	21	24026
-	138	778
-	108	5770
-	17	17658
-	100	9877
-	115	3495
-	107	5998
-	119	2703
-	12	5259
-	7	82
-	104	7561
-	133	1020
-	103	8094
-	129	1311
-	121	2362
-	120	2565
-	128	1479
-	139	754
-	132	1147
-	113	3990
-	9	1037
-	131	1227
-	118	2846
-	141	621
-	127	1518
-	124	1926
-	135	904
-	117	3047
-	137	830
-	4	119
-	134	1010
-	130	1340
-	123	2011
-	126	1682
-	140	723
-	8	421
-	5	36
-	6	30
-	2	9
-	1	71
-	3	16
-	142	6
