pos	5pC>T
1	0.178467575934604
2	0.0100246810399253
3	0.00633283762491917
4	0.00505390104204891
5	0.00402851037537071
6	0.00430978690641036
7	0.00390421609844854
8	0.00365176364404015
9	0.00389019481597564
10	0.00365044433169545
11	0.00356325447684476
12	0.00357736887437547
13	0.0037092382047778
14	0.00366777957696214
15	0.00376092331609211
16	0.00369766229535315
17	0.00372612805381662
18	0.00373313795542041
19	0.00384301954428429
20	0.0035810490993752
21	0.00357923541550448
22	0.00366524881224364
23	0.00361879572787683
24	0.00353997612059023
25	0.00334824538196612
