pos	3pG>A
1	0.0299380406139707
2	0.0110628740048845
3	0.00524662247694207
4	0.0082106098299758
5	0.0050271444191637
6	0.00441150319982379
7	0.00478601069881479
8	0.00443583954876524
9	0.00421497371422941
10	0.00424594380743392
11	0.00406406632943034
12	0.00413700184908765
13	0.00400361208028744
14	0.00419328250306087
15	0.00411897798190551
16	0.00408768646455342
17	0.00410291635930163
18	0.00382748993034558
19	0.00413841289641582
20	0.00410260052683752
21	0.00375233290544263
22	0.00387280875191634
23	0.00370174650427269
24	0.00363815792211684
25	0.00369283326666633
