# table produced by mapDamage version 2.2.3
# using mapped file results/align/ERR2000722.sorted.bam and ref/GRCh38_no_alt.fasta as reference file
# Std: strand of reads
Std	Length	Occurences 
+	8	395
+	66	103752
+	62	133581
+	28	17487
+	53	242251
+	50	289955
+	43	407047
+	13	7651
+	40	400559
+	42	417359
+	44	389214
+	67	96124
+	59	164918
+	45	372492
+	19	28437
+	48	325353
+	26	18205
+	39	357924
+	81	37031
+	36	158287
+	55	212328
+	57	187707
+	54	226531
+	49	308331
+	41	422730
+	46	355533
+	61	143720
+	51	274551
+	58	176261
+	105	7044
+	52	257092
+	70	78197
+	35	108834
+	47	341621
+	34	75445
+	84	29844
+	38	293202
+	79	42729
+	74	59023
+	82	34522
+	37	221290
+	31	29736
+	17	17965
+	102	8673
+	89	20746
+	69	84557
+	118	2959
+	64	118188
+	95	13701
+	68	90324
+	72	67880
+	78	45290
+	71	73008
+	63	125355
+	80	39849
+	75	54785
+	77	48056
+	88	22829
+	60	153912
+	92	16997
+	65	110221
+	96	12846
+	93	15905
+	33	52466
+	101	9479
+	97	12157
+	109	5122
+	56	199842
+	32	38489
+	114	3851
+	30	23894
+	11	3572
+	12	5319
+	20	27684
+	22	54609
+	108	5689
+	83	32110
+	73	63548
+	91	18304
+	133	1068
+	76	51594
+	16	14698
+	94	14873
+	86	25852
+	27	16479
+	121	2344
+	98	11146
+	29	20048
+	21	23630
+	87	24286
+	122	2216
+	9	1017
+	25	24257
+	24	34517
+	123	2096
+	107	6068
+	85	27465
+	15	11562
+	100	10009
+	99	10537
+	18	22626
+	106	6582
+	23	47199
+	14	9738
+	90	19479
+	115	3469
+	103	8280
+	111	4700
+	120	2554
+	104	7518
+	116	3368
+	117	3087
+	10	2115
+	131	1221
+	110	4964
+	113	3940
+	126	1656
+	112	4238
+	138	751
+	119	2747
+	132	1168
+	127	1583
+	128	1551
+	125	1802
+	135	908
+	141	636
+	130	1327
+	129	1389
+	140	663
+	136	826
+	139	727
+	137	819
+	134	1029
+	124	1971
+	7	94
+	3	17
+	4	119
+	6	34
+	1	62
+	5	20
+	142	8
+	145	1
+	2	5
-	43	406862
-	41	422778
-	53	241205
-	48	325138
-	55	213164
-	37	221224
-	49	307866
-	58	176626
-	44	390807
-	45	371670
-	33	52725
-	60	153236
-	46	356396
-	54	226692
-	36	158649
-	17	17893
-	75	54945
-	42	417474
-	19	28407
-	38	291683
-	51	273855
-	64	118093
-	39	357194
-	18	22493
-	84	29466
-	65	109401
-	40	398453
-	23	47507
-	77	48790
-	56	199421
-	74	58858
-	24	34894
-	16	14668
-	90	19783
-	50	290573
-	47	340918
-	67	96332
-	34	75059
-	73	63642
-	31	29834
-	59	164911
-	57	187216
-	82	34566
-	72	67582
-	71	72747
-	81	36817
-	86	25482
-	35	109380
-	76	51724
-	68	90241
-	61	143411
-	28	17227
-	52	257529
-	62	133663
-	83	32162
-	108	5576
-	114	3783
-	101	9231
-	79	42369
-	63	125763
-	66	103274
-	70	78490
-	89	20964
-	27	16378
-	100	9799
-	69	83766
-	30	23700
-	91	18093
-	29	20096
-	94	14947
-	32	38565
-	22	54594
-	93	15679
-	78	45214
-	104	7464
-	87	24405
-	98	11119
-	92	16985
-	21	23875
-	13	7504
-	15	11434
-	20	27434
-	80	39385
-	25	24097
-	9	1093
-	14	9739
-	85	27496
-	127	1581
-	124	1910
-	97	12221
-	109	5126
-	88	22430
-	26	18354
-	110	5034
-	99	10621
-	96	12948
-	12	5305
-	102	8694
-	95	13874
-	111	4683
-	106	6484
-	105	6891
-	125	1766
-	113	3978
-	131	1237
-	128	1469
-	107	6016
-	8	401
-	10	2047
-	11	3486
-	129	1390
-	118	2844
-	119	2666
-	126	1738
-	112	4306
-	115	3587
-	103	8399
-	7	92
-	132	1138
-	120	2584
-	117	3006
-	141	706
-	130	1303
-	138	739
-	123	2044
-	133	1076
-	121	2338
-	135	871
-	139	752
-	122	2262
-	116	3170
-	134	1074
-	137	815
-	140	647
-	4	104
-	136	823
-	6	36
-	5	28
-	1	61
-	142	10
-	2	4
-	3	15
-	143	1
