# table produced by mapDamage version 2.2.3
# using mapped file results/align/ERR2000716.sorted.bam and ref/GRCh38_no_alt.fasta as reference file
# Std: strand of reads
Std	Length	Occurences 
+	46	354752
+	51	274123
+	40	398710
+	76	51621
+	36	158950
+	45	371455
+	64	117666
+	28	17635
+	57	187689
+	54	226171
+	55	211725
+	60	152271
+	37	220590
+	50	288997
+	42	416577
+	39	357329
+	78	45393
+	41	420451
+	44	387745
+	49	307524
+	59	164469
+	58	175714
+	43	405672
+	52	256191
+	47	339640
+	16	14600
+	38	292506
+	48	324500
+	25	24430
+	72	67542
+	68	89822
+	19	28671
+	17	17802
+	70	78399
+	56	198636
+	85	27836
+	18	22401
+	74	58956
+	79	42544
+	35	109266
+	67	95923
+	87	23960
+	32	38040
+	81	36875
+	98	11119
+	80	39401
+	63	124605
+	69	83956
+	34	75218
+	104	7531
+	62	132905
+	94	14648
+	66	102710
+	53	241497
+	82	34082
+	73	63181
+	86	25473
+	90	19415
+	108	5775
+	77	48222
+	102	8658
+	83	31900
+	96	12759
+	29	20294
+	26	18007
+	71	72840
+	92	17003
+	84	29742
+	20	27655
+	130	1300
+	75	54869
+	99	10620
+	107	6057
+	61	142376
+	30	23703
+	33	52415
+	15	11595
+	10	2079
+	23	47320
+	116	3324
+	91	17972
+	100	9861
+	21	23864
+	65	109464
+	113	3974
+	24	34373
+	97	12007
+	114	3687
+	141	659
+	14	9694
+	31	29727
+	133	1056
+	105	7168
+	27	16453
+	9	1105
+	89	20600
+	22	54482
+	12	5227
+	118	2786
+	126	1736
+	136	879
+	95	13728
+	88	22439
+	93	15841
+	101	9280
+	125	1750
+	103	8132
+	106	6636
+	13	7720
+	124	1880
+	11	3544
+	122	2243
+	8	430
+	115	3606
+	128	1571
+	111	4638
+	120	2506
+	112	4174
+	134	1019
+	119	2630
+	110	4933
+	121	2286
+	117	3131
+	109	5349
+	5	29
+	131	1220
+	129	1365
+	139	774
+	132	1164
+	127	1560
+	135	1020
+	140	672
+	137	871
+	138	774
+	123	2047
+	7	88
+	4	114
+	6	37
+	1	52
+	3	20
+	142	6
+	2	7
+	144	1
-	32	38202
-	40	398365
-	60	152946
-	49	306747
-	39	355961
-	57	186834
-	42	416757
-	63	124746
-	33	52243
-	45	369921
-	53	240165
-	50	288118
-	43	405530
-	41	420236
-	36	157736
-	59	164801
-	47	339146
-	17	17802
-	78	45001
-	31	29513
-	48	323417
-	51	273323
-	35	108527
-	80	39340
-	46	354495
-	56	199306
-	67	95891
-	44	388141
-	55	212275
-	23	47345
-	38	290206
-	73	63298
-	54	226783
-	74	58318
-	75	54470
-	82	34214
-	68	89613
-	130	1264
-	69	83575
-	52	256236
-	58	174893
-	18	22549
-	34	75098
-	86	25361
-	70	77934
-	71	72551
-	104	7536
-	107	6270
-	66	103235
-	37	220254
-	62	132825
-	61	142735
-	26	17816
-	65	109527
-	90	19254
-	77	47829
-	81	36505
-	76	51618
-	96	12912
-	98	11151
-	136	938
-	102	8615
-	83	32202
-	64	116826
-	79	42115
-	29	19901
-	110	4979
-	87	23985
-	20	27610
-	72	67519
-	24	34927
-	21	23668
-	92	16920
-	22	54408
-	30	23696
-	16	14636
-	19	28384
-	13	7686
-	25	24082
-	91	18264
-	100	9748
-	28	17244
-	85	27365
-	11	3456
-	129	1377
-	93	15865
-	105	7018
-	140	647
-	99	10553
-	106	6469
-	89	20923
-	122	2227
-	88	22128
-	12	5392
-	15	11503
-	120	2558
-	84	29799
-	117	3106
-	101	9265
-	27	16373
-	125	1790
-	115	3413
-	112	4212
-	128	1435
-	111	4545
-	97	12054
-	10	2180
-	103	8039
-	131	1189
-	94	14619
-	14	9552
-	95	13710
-	109	5337
-	116	3226
-	7	100
-	113	3971
-	108	5608
-	137	818
-	114	3753
-	126	1658
-	127	1471
-	132	1170
-	124	1952
-	8	437
-	119	2721
-	134	950
-	2	12
-	9	1076
-	123	2053
-	133	1030
-	6	29
-	121	2469
-	118	2764
-	139	715
-	1	61
-	135	954
-	141	628
-	138	756
-	4	116
-	5	39
-	3	16
-	142	9
