pos	3pG>A
1	0.0298965505380869
2	0.0111321373342249
3	0.00520637051253965
4	0.00827349400131812
5	0.00504530966057863
6	0.00455555053053235
7	0.0048891063913086
8	0.00443156791051841
9	0.00420336163052315
10	0.00434265879474399
11	0.00401515292329362
12	0.00418101309358672
13	0.00406169290058537
14	0.00419720048046233
15	0.00413443212545401
16	0.00408445616284735
17	0.00411471201068669
18	0.00396306634771999
19	0.00411420287838439
20	0.00420290278486262
21	0.00378785284045491
22	0.0039133405208143
23	0.00371962997629663
24	0.00366919921556493
25	0.00369904850254382
