pos	5pC>T
1	0.178726450796758
2	0.00991322705539979
3	0.0062871590893345
4	0.00504155310151291
5	0.00404505890930271
6	0.00419613933467681
7	0.00386242270075104
8	0.00366036518382109
9	0.00393753411513101
10	0.00358147714236542
11	0.00367990739410686
12	0.00357146711218851
13	0.00377138491848099
14	0.00364303931435201
15	0.0037840147307368
16	0.00373634941834169
17	0.00371725362126157
18	0.00367310163357036
19	0.00379782239067837
20	0.00357218655149753
21	0.00361680074813707
22	0.00361664223321085
23	0.00362607090293688
24	0.00350583701196282
25	0.00344075517105366
