# table produced by mapDamage version 2.2.3
# using mapped file results/align/ERR2000718.sorted.bam and ref/GRCh38_no_alt.fasta as reference file
# Std: strand of reads
Std	Length	Occurences 
+	11	3446
+	41	422713
+	44	389932
+	63	126712
+	80	39873
+	39	357969
+	61	144902
+	56	201028
+	42	419458
+	38	293932
+	43	407362
+	64	119297
+	57	188954
+	40	400436
+	48	327289
+	55	213658
+	60	154353
+	58	177823
+	53	242913
+	72	68634
+	47	342083
+	49	309592
+	25	24197
+	52	258182
+	65	110582
+	50	291560
+	51	275217
+	45	373542
+	22	54335
+	46	356711
+	31	30003
+	36	158531
+	104	7707
+	34	75268
+	33	52270
+	74	59725
+	76	51856
+	69	85006
+	59	166467
+	116	3295
+	62	134613
+	66	104742
+	24	34241
+	75	55222
+	98	11641
+	32	38423
+	85	28312
+	89	21052
+	37	221315
+	106	6627
+	54	228704
+	86	26075
+	71	73748
+	83	32702
+	108	5842
+	120	2559
+	30	23442
+	77	48532
+	70	79236
+	78	45780
+	79	42711
+	73	63726
+	21	23522
+	81	37047
+	35	109452
+	91	18330
+	68	90989
+	90	19835
+	96	13108
+	67	97467
+	92	17041
+	84	29961
+	100	10220
+	103	8292
+	99	10885
+	82	34711
+	121	2399
+	23	46850
+	107	6237
+	15	11566
+	26	18015
+	88	22860
+	93	15953
+	19	28030
+	138	794
+	14	9609
+	87	24464
+	29	19914
+	20	27327
+	9	1052
+	27	16084
+	137	870
+	101	9513
+	97	12020
+	129	1334
+	17	17216
+	13	7534
+	12	5234
+	134	974
+	28	17251
+	16	14610
+	127	1608
+	130	1250
+	117	3089
+	109	5235
+	118	2988
+	94	14897
+	18	22215
+	111	4686
+	10	2091
+	95	13958
+	110	5178
+	122	2283
+	112	4430
+	136	877
+	114	3776
+	105	7210
+	8	401
+	4	102
+	115	3512
+	102	8799
+	125	1809
+	139	764
+	124	1958
+	113	4073
+	128	1467
+	126	1712
+	133	1055
+	119	2745
+	135	930
+	131	1274
+	132	1211
+	140	667
+	123	2141
+	141	656
+	7	83
+	5	30
+	1	53
+	3	12
+	6	33
+	2	5
+	142	10
-	57	188631
-	51	273299
-	45	372947
-	47	342360
-	37	220322
-	43	407278
-	44	391225
-	52	257222
-	41	422795
-	38	292710
-	53	241643
-	34	75055
-	22	53768
-	54	228024
-	46	358204
-	55	213784
-	20	27115
-	18	22243
-	39	358574
-	42	419174
-	17	17459
-	56	200206
-	58	177656
-	63	125340
-	36	158607
-	40	401122
-	61	143937
-	64	118790
-	69	84669
-	118	2871
-	59	165702
-	49	309740
-	30	23563
-	81	37141
-	48	325408
-	65	111506
-	71	73360
-	35	109334
-	70	79485
-	67	97871
-	97	12333
-	78	45641
-	77	48899
-	73	64026
-	104	7618
-	114	3815
-	50	290997
-	95	13919
-	72	68194
-	75	55087
-	79	42799
-	80	39753
-	84	29688
-	74	59634
-	107	6300
-	60	153606
-	90	19705
-	99	10829
-	66	104609
-	62	134758
-	68	90816
-	33	52390
-	23	46801
-	76	52167
-	101	9447
-	25	23707
-	92	16995
-	85	27727
-	102	8689
-	87	24202
-	31	29688
-	82	34776
-	24	34508
-	32	38324
-	28	17292
-	93	16064
-	10	2037
-	83	32611
-	13	7594
-	26	18036
-	89	21073
-	91	18516
-	113	4091
-	19	28039
-	27	16212
-	96	12881
-	14	9662
-	112	4385
-	86	25769
-	29	20116
-	103	8168
-	122	2274
-	15	11370
-	117	3214
-	94	15061
-	105	7059
-	16	14511
-	100	9987
-	111	4639
-	88	22531
-	116	3216
-	9	998
-	121	2437
-	12	5283
-	110	4888
-	106	6488
-	21	23470
-	11	3526
-	127	1613
-	108	5675
-	8	403
-	123	2075
-	109	5330
-	98	11379
-	135	942
-	125	1835
-	140	706
-	115	3523
-	129	1376
-	126	1665
-	138	775
-	139	710
-	137	843
-	133	1082
-	132	1101
-	119	2711
-	134	1002
-	120	2587
-	124	2025
-	128	1502
-	141	653
-	131	1214
-	130	1322
-	4	106
-	136	931
-	6	29
-	1	47
-	7	89
-	2	7
-	5	31
-	3	12
-	142	3
-	145	2
