pos	3pG>A
1	0.0298079697419531
2	0.0111966072504421
3	0.00522068734299103
4	0.00819863621887363
5	0.005020043336809
6	0.004534069809801
7	0.00486985660948942
8	0.00438621852422197
9	0.00418427142201291
10	0.00424093925728876
11	0.00405151646766531
12	0.00410943252603359
13	0.00405857899451912
14	0.00417188761659561
15	0.00409609383705271
16	0.00411854574888728
17	0.00414358357985762
18	0.00391547002931183
19	0.00417210506890017
20	0.004232880529468
21	0.0038261487605382
22	0.00384849162350885
23	0.00377579319511094
24	0.00366853102336762
25	0.00373939794352823
