pos	3pG>A
1	0.0298043978177212
2	0.0111627118034228
3	0.0060591109308812
4	0.00825153793434905
5	0.00509370444321852
6	0.00444356094122057
7	0.00478394949487603
8	0.00437716541470596
9	0.00421726256437776
10	0.00424416028789583
11	0.00401515425935446
12	0.00412979231824784
13	0.00410839145119577
14	0.00412358013621198
15	0.00412341225292953
16	0.00416278251579983
17	0.00409953994427876
18	0.00395200739585902
19	0.0040896334551211
20	0.00417152359762059
21	0.00380124471102676
22	0.00390869588969714
23	0.00377498200195174
24	0.00369643048402208
25	0.00372496683302799
