pos	5pC>T
1	0.178863675918316
2	0.00996313134230372
3	0.00639552562706455
4	0.00503644705496024
5	0.00404915129521009
6	0.0042942276383034
7	0.0038198221574635
8	0.00384538823951063
9	0.00393305963834655
10	0.00366142778707941
11	0.00365228496477662
12	0.00357974408679491
13	0.00372834033835164
14	0.00364785420268206
15	0.00373961041776905
16	0.00368373353721038
17	0.00377643485247751
18	0.00368379769938135
19	0.00380429633073742
20	0.00360314308938081
21	0.00355822740231909
22	0.00363335977947318
23	0.00361516071579398
24	0.00352916583735877
25	0.00340291149150462
